price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id,suburb,city,listing_number,listing_url
800000.0,2,1,5,1.0,0.0,0,0,0,1,1,7,10,871,19,1,4,Gansbaai Central,Gansbaai,P24-116810210,https://www.property24.com/for-sale/gansbaai-central/gansbaai/western-cape/16693/116810210
825000.0,1,1,3,0.0,600.0,0,0,0,0,1,7,10,1155,19,1,8,Kleinbaai,Gansbaai,P24-114209587,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/114209587
830000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1259,9,1,8,Pringle Bay,Pringle Bay,P24-116779976,https://www.property24.com/for-sale/pringle-bay/pringle-bay/western-cape/10846/116779976
850000.0,2,1,5,1.0,0.0,0,1,0,1,1,7,10,704,17,1,5,Gansbaai Central,Gansbaai,P24-116795828,https://www.property24.com/for-sale/gansbaai-central/gansbaai/western-cape/16693/116795828
850000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,347,12,1,8,Fisherhaven,Hermanus,P24-116825429,https://www.property24.com/for-sale/fisherhaven/hermanus/western-cape/10544/116825429
899000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,728,8,1,8,Agulhas,Agulhas,P24-116795815,https://www.property24.com/for-sale/agulhas/agulhas/western-cape/10496/116795815
899000.0,3,1,7,3.0,0.0,0,0,0,1,0,7,10,562,14,1,4,Caledon,Caledon,P24-116802389,https://www.property24.com/for-sale/caledon/caledon/western-cape/7873/116802389
995000.0,1,1,3,0.0,600.0,0,0,0,0,1,7,10,1203,9,1,8,Pringle Bay,Pringle Bay,P24-116757957,https://www.property24.com/for-sale/pringle-bay/pringle-bay/western-cape/10846/116757957
1000000.0,1,1,3,0.0,654.0,0,0,1,0,1,7,10,1454,7,1,8,Franskraal,Gansbaai,P24-115502047,https://www.property24.com/for-sale/franskraal/gansbaai/western-cape/7863/115502047
1070000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1645,33,1,8,Pringle Bay,Pringle Bay,P24-116821834,https://www.property24.com/for-sale/pringle-bay/pringle-bay/western-cape/10846/116821834
1075000.0,2,1,5,1.0,0.0,0,0,1,1,0,7,10,690,9,1,5,Caledon,Caledon,P24-116564445,https://www.property24.com/for-sale/caledon/caledon/western-cape/7873/116564445
1095000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,1411,15,1,8,Theewaterskloof,Villiersdorp,P24-116727547,https://www.property24.com/for-sale/theewaterskloof/villiersdorp/western-cape/33398/116727547
1100000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1260,14,1,8,Pringle Bay,Pringle Bay,P24-116787526,https://www.property24.com/for-sale/pringle-bay/pringle-bay/western-cape/10846/116787526
1100000.0,1,1,3,0.0,891.0,0,0,1,0,1,8,10,1631,19,1,8,Bettys Bay,Bettys Bay,P24-116831121,https://www.property24.com/for-sale/bettys-bay/bettys-bay/western-cape/7823/116831121
1150000.0,1,1,3,2.0,0.0,0,1,0,1,0,7,10,1011,14,1,5,Swellendam,Swellendam,P24-116755780,https://www.property24.com/for-sale/swellendam/swellendam/western-cape/7598/116755780
1180000.0,2,2,5,1.0,0.0,0,1,0,0,1,7,10,409,12,1,5,Gansbaai Central,Gansbaai,P24-116773938,https://www.property24.com/for-sale/gansbaai-central/gansbaai/western-cape/16693/116773938
1180000.0,2,2,5,1.0,0.0,0,0,0,0,1,7,10,1897,30,1,5,Gansbaai Central,Gansbaai,P24-116775199,https://www.property24.com/for-sale/gansbaai-central/gansbaai/western-cape/16693/116775199
1200000.0,1,1,3,0.0,1457.0,0,1,0,0,1,8,10,1435,10,1,8,Bettys Bay,Bettys Bay,P24-116755721,https://www.property24.com/for-sale/bettys-bay/bettys-bay/western-cape/7823/116755721
1200000.0,2,1,5,1.0,0.0,1,1,0,0,1,9,10,833,21,1,5,Hermanus Beach Club,Hermanus,P24-116804676,https://www.property24.com/for-sale/hermanus-beach-club/hermanus/western-cape/15725/116804676
1200000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,650,14,1,8,De Kelders,Gansbaai,P24-116595667,https://www.property24.com/for-sale/de-kelders/gansbaai/western-cape/12117/116595667
1250000.0,2,2,5,4.0,0.0,0,0,0,1,0,7,10,526,13,1,4,Bot River,Bot River,P24-113217305,https://www.property24.com/for-sale/bot-river/bot-river/western-cape/10872/113217305
1295000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,770,4,1,8,Perlemoenbaai,Gansbaai,P24-116780528,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116780528
1299999.0,3,3,7,6.0,0.0,0,0,0,1,1,9,10,897,17,1,4,Hawston,Hermanus,P24-116835968,https://www.property24.com/for-sale/hawston/hermanus/western-cape/7854/116835968
1350000.0,4,3,9,7.0,161.0,0,1,1,1,1,8,10,1793,29,1,4,Kleinmond Central,Kleinmond,P24-116755846,https://www.property24.com/for-sale/kleinmond-central/kleinmond/western-cape/16691/116755846
1350000.0,1,1,3,0.0,502.0,0,0,0,0,1,7,10,956,15,1,8,Perlemoenbaai,Gansbaai,P24-116811622,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116811622
1395000.0,4,1,9,4.0,0.0,1,1,0,1,0,7,10,814,23,1,4,Bredasdorp,Bredasdorp,P24-116764543,https://www.property24.com/for-sale/bredasdorp/bredasdorp/western-cape/7882/116764543
1400000.0,1,1,3,0.0,1339.0,0,1,0,0,1,8,10,2007,6,1,8,Bettys Bay,Bettys Bay,P24-116812625,https://www.property24.com/for-sale/bettys-bay/bettys-bay/western-cape/7823/116812625
1490000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,1075,26,1,10,Swellendam Rural,Swellendam,P24-116790316,https://www.property24.com/for-sale/swellendam-rural/swellendam/western-cape/16564/116790316
1495000.0,3,2,7,8.0,170.0,1,1,0,1,1,7,10,2984,27,1,4,Pearly Beach,Gansbaai,P24-116749438,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116749438
1499000.0,2,1,5,0.0,0.0,0,1,0,1,1,7,10,612,18,1,4,De Kelders,Gansbaai,P24-109616451,https://www.property24.com/for-sale/de-kelders/gansbaai/western-cape/12117/109616451
1499000.0,2,1,5,1.0,99.0,0,0,0,1,0,7,10,955,18,1,4,Grabouw,Grabouw,P24-116752148,https://www.property24.com/for-sale/grabouw/grabouw/western-cape/16681/116752148
1557000.0,2,1,5,3.0,0.0,0,1,0,1,0,7,10,2129,21,1,4,Grabouw,Grabouw,P24-116766411,https://www.property24.com/for-sale/grabouw/grabouw/western-cape/16681/116766411
1590000.0,1,1,3,0.0,520.0,1,0,0,0,1,7,10,583,11,1,8,Perlemoenbaai,Gansbaai,P24-116745308,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116745308
1600000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,1165,14,1,8,Perlemoenbaai,Gansbaai,P24-116251703,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116251703
1600000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,1038,15,1,8,Grabouw,Grabouw,P24-116787366,https://www.property24.com/for-sale/grabouw/grabouw/western-cape/16681/116787366
1600000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,844,18,1,8,Swellendam,Swellendam,P24-116751728,https://www.property24.com/for-sale/swellendam/swellendam/western-cape/7598/116751728
1650000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,383,13,1,8,Vermont,Hermanus,P24-116823257,https://www.property24.com/for-sale/vermont/hermanus/western-cape/7861/116823257
1650000.0,1,1,3,0.0,0.0,0,1,0,0,1,7,10,719,10,1,8,Sunny Seas Estate,Bettys Bay,P24-116795788,https://www.property24.com/for-sale/sunny-seas-estate/bettys-bay/western-cape/16332/116795788
1650000.0,2,1,5,0.0,0.0,0,0,1,0,1,9,10,1706,19,1,5,Westcliff,Hermanus,P24-116770772,https://www.property24.com/for-sale/westcliff/hermanus/western-cape/7853/116770772
1650000.0,1,1,3,1.0,0.0,0,1,0,0,0,7,10,1569,11,1,5,Swellendam,Swellendam,P24-116657401,https://www.property24.com/for-sale/swellendam/swellendam/western-cape/7598/116657401
1650000.0,2,1,5,2.0,0.0,0,1,0,1,1,7,10,1296,24,1,4,Pearly Beach,Gansbaai,P24-116741748,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116741748
1690000.0,4,2,9,2.0,0.0,1,1,1,1,1,7,10,1201,33,1,4,De Kelders,Gansbaai,P24-115212082,https://www.property24.com/for-sale/de-kelders/gansbaai/western-cape/12117/115212082
1695000.0,3,2,7,8.0,972.0,0,1,1,1,1,7,10,1847,19,1,4,Pearly Beach,Gansbaai,P24-116737563,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116737563
